,instance_type,linux_price,windows_price,region
0,a1.medium,$0.0084 per Hour,N/A*,US East (N. Virginia)
1,a1.large,$0.0209 per Hour,N/A*,US East (N. Virginia)
2,a1.xlarge,$0.0336 per Hour,N/A*,US East (N. Virginia)
3,a1.2xlarge,$0.0671 per Hour,N/A*,US East (N. Virginia)
